gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
FBXL19	3554.010021309424	-1.0001016989816311	0.058313372188522505	1.77559039568581e-67	3.831724073889978e-63
ZDHHC12	472.33499408333176	-1.328320361503557	0.07777644082858443	2.5016158664971154e-67	5.398487039900775e-63
DLGAP4-AS1	186.44553119321125	2.942303705760969	0.1706063495127657	3.1572714133241355e-67	6.813391709953484e-63
ENSG00000267598	70.74701858197426	5.067827079641122	0.2958625724413984	4.302984292390775e-67	9.285840102979292e-63
CCDC85B	656.7048952310038	-1.6240901299033672	0.09582213556796747	7.224870539022754e-67	1.5591270623211103e-62
CRLF1	338.6962447010567	1.709526959081657	0.10114158369079222	1.3766195653274211e-66	2.9707450219765747e-62
B4GALNT4	1126.165348567545	-1.1390873062148652	0.06717332638271316	3.502721379968244e-66	7.55887273797147e-62
METTL26	779.7513660220466	-1.1847618709867174	0.07041681325288157	2.959070916008095e-65	6.38567503674547e-61
C8orf82	352.90511309929553	-1.7561678827563607	0.10536577969031302	7.132749031282923e-65	1.5392472409508547e-60
PLTP	3534.450502574393	-1.0055807927531255	0.0599858770437228	1.2634506898751803e-64	2.7265265887506393e-60
ATG10	756.9550183675178	1.132983289263786	0.06772299619242544	1.6669614091857614e-64	3.597302721022873e-60
TNS2-AS1	995.4553938737935	1.7879244176191391	0.10820680344782499	8.048218909495051e-64	1.736805640669032e-59
C12orf73	903.1996913227217	1.3124091219969731	0.07915452629435113	1.1974851057114308e-63	2.584172858125268e-59
MFSD3	647.366705767697	-2.1520791983432326	0.12974974622602276	1.424686428458239e-63	3.07447331261288e-59
ENSG00000267168	90.72064206251895	3.5667061273997973	0.21346896029291731	2.3431341841142468e-63	5.0564835693185445e-59
LPAR2	628.529732553319	-1.380906510354348	0.08367936176357015	3.33158205250712e-63	7.189554069310365e-59
RAB5C	314.69866594861986	-1.609076042302786	0.0981050054382091	7.188758604947937e-63	1.551334106947765e-58
NDUFS8	1375.3413217709258	-1.1247559823896673	0.06821654363846662	9.523200489307695e-63	2.0551066655926005e-58
PIEZO1	1330.0955905325507	-1.0668987348495749	0.0652088324020765	8.748729606618756e-62	1.8879758491083276e-57
UBALD1	742.8216360712121	-1.1589874948187777	0.07098995666665785	1.2650365834195275e-61	2.72994894701934e-57
FBXW5	954.2728648971495	-1.007612161146432	0.062175662852510714	1.2777454152174184e-60	2.7573746060391887e-56
FBXL6	327.8680048109282	-1.751057245325072	0.1090056832366464	1.4454000715487336e-60	3.119173354402167e-56
SLC22A17	830.699024816068	-1.059102323554667	0.0654434605723375	1.6237596486491637e-60	3.504073321784895e-56
ENSG00000283480	79.31084690779636	3.627352003759192	0.22328150859523838	4.6743320739498703e-60	1.0087208615583821e-55
LIX1L-AS1	66.60912664869888	3.4826565546996053	0.21450244357597786	6.162446220782069e-60	1.3298558944447703e-55
BOP1	2725.0709191850124	-1.1147930793216347	0.06946389098207553	1.2715862538678574e-59	2.744083135846836e-55
ENSG00000245156	54.968973804240306	4.430346549631824	0.2752315430617783	2.403468011310228e-59	5.186683968407472e-55
SIPA1	744.659127243029	-1.3158612383870896	0.08261000324758344	4.886157255453242e-59	1.0544327357268097e-54
MAP3K11	1279.1213198553148	-1.0196839395743467	0.06396429300417285	8.827884772190757e-59	1.9050575338387654e-54
RSL1D1-DT	128.1307498918301	2.2465253083615053	0.14096159157149596	1.0149588472913303e-58	2.1902811924546908e-54
LSS	5418.895649322288	-1.5842427550530334	0.10023055331503887	1.1802563641861259e-58	2.5469932339136596e-54
SLC26A6	801.313903278352	-1.12589598894288	0.07078798947732841	1.2348610249461503e-58	2.6648300918337925e-54
BRAT1	1078.2529130806158	-1.3978136734682076	0.08838641755360153	2.1567469597333422e-58	4.6542599391045523e-54
VCAN-AS1	152.13824950093746	2.421112898726128	0.15226726170405133	4.750768722633194e-58	1.0252158903442432e-53
ENSG00000262831	76.37531210804626	3.149314766005577	0.19735299891014632	6.636627161108343e-58	1.4321841413671805e-53
RNF7	674.9484284644077	-1.0891905386701484	0.06909294511252735	1.2613886749151873e-57	2.7220767604669742e-53
TSPAN4	1018.2148360700031	-1.1726160687781735	0.07451210565605447	1.590156943743222e-57	3.4315586845978726e-53
H2AX	4382.585475120712	-1.111273933577785	0.07068814472802969	2.381364343888345e-57	5.138984254111048e-53
DOHH	436.6700862347573	-1.6365093140558784	0.105396402142765	8.212378172461261e-57	1.7722312096171404e-52
SLC27A3	701.1079593898804	-1.1613694885967552	0.07431886051827774	9.292902794788457e-57	2.0054084231153492e-52
TONSL	1308.594422969335	-1.627029281571477	0.10517336288581919	2.0473666902974372e-56	4.4182173176618696e-52
RPL41P1	2362.4822914155734	-1.1319967201214787	0.07275790586718602	2.907342168794885e-56	6.274044400259362e-52
ENSG00000261419	53.48115257631296	3.6443535986356106	0.2331315367002448	8.425407848351752e-56	1.818203013674308e-51
ZNF511	145.3283954849299	-3.0028883090647667	0.19191722135274508	9.216964172583883e-56	1.989020868443602e-51
SPHK2	1114.2142626791056	-1.211535294378485	0.07844164639694984	1.3882417752968855e-55	2.995825751090679e-51
ARL6IP1	710.1167931565923	-1.0545251592900091	0.06829087795470976	2.1303765863797795e-55	4.597352673407564e-51
TMUB1	629.0037262231517	-1.6988102556523923	0.11103421653185816	2.498534527271807e-55	5.39183750985256e-51
POLRMT	2065.2644276836418	-1.137373037706263	0.07410532001181235	7.499561631679109e-55	1.6184054001163517e-50
ENSG00000256813	43.34224682129843	3.9961192690440686	0.2586274772771063	1.0206417426395238e-54	2.2025448806160925e-50
SYNGR2	901.9374705221969	-1.0800562499039612	0.0705417958670264	1.513629272530519e-54	3.26641197012086e-50
MRPS12	978.3435849864148	-1.1266927074381592	0.07365954818368187	1.7133447596165673e-54	3.6973979912525524e-50
COL1A1	3206.5893085593616	-1.1916568694765528	0.07799539927396859	1.909102958635882e-54	4.1198441847362333e-50
ZNF579	614.5081643421298	-1.2449785237804056	0.08157298867186157	2.1080953442358628e-54	4.549269752860991e-50
JSRP1	78.7432597880329	3.549990772516873	0.2312247275267084	7.013614879452575e-54	1.5135380909858658e-49
